id,county,urban_influence,high_school_degree_percent,politics,percent_pov_all,employment_rate_2017,med_household_income_2017,whiteAlone,avg_all_immunization_percent,avg_mmr_percent,avg_varicella_percent
1,Adams County,5,80.4,0.3,15.8,94.2,48056,38.8,87.19749769,3.203446639,5.99338119
2,Asotin County,2,92.6,0.35,12.9,95.8,50777,92.6,96.2269221,2.457953971,2.913189176
3,Benton County,2,92.8,0.36,12,94.5,64717,74.5,89.08448003,1.916050495,2.829747001
4,Chelan County,2,88,0.42,13.3,95.1,57284,70.7,89.67811793,3.863748305,4.466105354
5,Clallam County,8,93.8,0.48,16.4,93.2,49070,84.6,77.16693081,4.92043784,6.965546303
6,Clark County,1,94.2,0.5,10.2,94.9,74243,81.8,78.00271494,6.581614482,7.307890044
7,Columbia County,2,92.9,0.26,13.5,94.4,50322,89.5,82.78370446,2.897188944,2.958723833
8,Cowlitz County,2,92,0.43,16.4,93.9,50617,85.8,88.94859652,3.928623453,4.175396395
9,Douglas County,2,87.4,0.34,13.4,94.3,54580,67.8,90.36297988,0.778779843,0.989289984
10,Ferry County,12,90.4,0.33,17.3,89,43665,75,78.90250411,5.280824672,9.396746679
11,Franklin County,2,83.1,0.4,13.4,93.7,61285,43.2,92.08076014,1.765188118,1.989694534
12,Garfield County,7,97.5,0.25,14,94.5,52682,92.8,88.9632107,1.003344482,2.006688963
13,Grant County,8,84.5,0.3,14.7,93.7,55807,57.3,90.31415318,2.018787545,2.155908682
15,Island County,3,96.2,0.53,9.2,94.8,63529,83.1,86.48858849,4.166046816,5.293676161
16,Jefferson County,6,95.4,0.68,12.7,93.9,53364,89.3,65.14837465,12.84611735,15.30714499
17,King County,1,94.3,0.77,9.3,96.3,89519,64.8,86.91495343,4.001027574,5.017306286
18,Kitsap County,2,96,0.56,8.3,95.1,72795,79.1,89.40299508,4.234540331,5.747724905
19,Kittitas County,3,94.3,0.43,14.2,94.7,56393,86.1,82.14491187,4.230955255,4.613760133
20,Klickitat County,4,90.5,0.42,14.5,94.2,55282,83.8,75.48910804,4.899979297,6.124011469
21,Lewis County,3,91.1,0.31,15,93.4,50086,86,88.35567873,2.787407335,3.249073019
22,Lincoln County,7,93.7,0.23,12.6,95.1,53504,93.6,88.27660261,3.49232063,5.617903964
23,Mason County,3,90.9,0.47,14.5,93.4,55030,82.9,80.9991954,3.597604986,4.501582976
24,Okanogan County,6,87.6,0.4,20.4,93.1,44819,68.3,84.09629834,5.868856679,6.717816379
25,Pacific County,9,90.4,0.46,16.9,93,45526,84.6,92.12230681,2.396578767,4.168735486
27,Pierce County,1,93.8,0.54,10.2,94.6,69027,70.3,89.20594389,3.02834808,3.591692035
29,Skagit County,2,92.3,0.52,11.3,94.5,65505,76.7,81.56108208,4.517178654,6.153642158
30,Skamania County,1,92.7,0.43,12,93.8,59639,89.6,83.6456212,4.89542943,6.181119116
31,Snohomish County,1,94,0.59,7.3,95.9,82405,74.3,85.66165484,4.19150494,5.210713044
32,Spokane County,2,95.3,0.45,14.1,94.6,53438,86.7,85.60929029,5.790103765,7.195090267
33,Stevens County,2,92.4,0.28,14.8,92.7,52136,87.9,69.37809877,13.1353201,15.1295666
34,Thurston County,2,95.4,0.59,10.5,95,71370,78.9,78.07828346,4.751325063,5.669121921
35,Wahkiakum County,4,93.4,0.38,12.3,92.9,53694,92.5,78.6800735,6.517966517,7.482645978
37,Whatcom County,2,94.6,0.6,13,95,61026,81.9,82.82642451,7.244259531,8.47007492
38,Whitman County,5,97.6,0.52,21.4,95.6,44913,82.1,88.3702915,3.149626261,3.754816649
39,Yakima County,2,83.5,0.43,18.1,93.2,47573,47.7,91.27392213,2.319084786,2.560928826