County,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Adams,"24,604","28,024","27,301","28,328","31,277","29,537","29,604","31,806","31,795","34,073","33,888","35,292","37,839","38,306","38,934","39,235","39,105","41,298","42,299","42,455","41,102","40,656","41,068","42,354","43,541","45,712","47,646","49,501","50,089"
Asotin,"22,897","24,206","25,110","26,251","27,359","27,873","28,288","29,813","31,499","32,477","33,524","32,590","35,920","37,013","37,080","37,140","37,657","39,768","40,558","42,945","40,035","39,820","40,171","41,703","42,174","43,368","46,107","47,020","46,564"
Benton,"32,593","35,012","37,093","39,228","41,153","42,790","42,540","42,817","44,057","45,665","47,044","49,389","52,598","53,736","55,409","57,613","56,200","54,942","55,361","57,114","58,496","60,070","60,608","62,739","63,710","63,157","62,071","62,282","63,053"
Chelan,"24,312","25,833","27,592","28,746","30,148","31,547","32,164","33,918","35,662","37,175","37,316","39,439","41,653","41,731","42,918","43,696","44,422","46,522","44,964","44,013","46,780","45,478","46,275","47,265","51,713","50,825","53,068","55,109","53,388"
Clallam,"25,434","27,329","27,861","28,578","29,340","29,951","31,163","32,559","34,770","36,012","36,449","30,866","32,939","33,229","34,020","34,172","35,050","37,770","37,926","40,912","38,647","38,397","38,886","41,887","44,824","45,454","46,241","48,187","51,070"
Clark,"31,800","33,734","34,250","35,847","37,418","38,828","40,525","43,044","45,705","47,252","48,376","49,320","51,610","50,518","50,520","50,474","52,108","56,994","57,621","57,999","54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618"
Columbia,"22,418","24,478","24,123","26,136","28,123","26,779","29,861","33,041","30,820","33,060","33,500","37,360","38,376","37,328","37,593","37,341","36,028","37,211","41,531","43,508","39,978","38,474","38,916","39,461","39,931","42,886","39,807","41,517","49,452"
Cowlitz,"27,866","29,746","31,038","31,195","31,957","33,309","34,191","35,516","36,738","38,437","39,797","35,246","37,266","37,040","36,516","36,355","37,958","39,777","39,954","41,412","40,572","40,867","41,406","42,752","43,409","39,635","49,997","48,208","49,420"
Douglas,"27,054","28,708","29,407","30,932","31,855","32,688","32,930","35,420","36,855","37,733","38,464","39,789","40,699","41,062","41,809","42,524","43,189","45,383","45,748","48,325","46,269","46,159","46,723","48,050","49,030","50,878","50,886","52,364","53,345"
Ferry,"25,170","27,355","27,236","27,841","27,829","29,587","28,910","30,091","30,489","30,412","30,388","31,175","33,129","33,488","33,182","33,867","34,452","34,828","37,001","38,093","38,284","36,712","36,921","37,548","39,596","41,343","40,340","42,330","42,157"
Franklin,"24,604","26,435","26,861","28,680","30,902","31,768","32,604","34,843","35,770","37,209","38,991","38,755","41,681","41,817","42,117","41,309","42,256","43,187","49,337","44,797","48,754","53,355","53,644","56,221","56,105","58,538","57,664","58,854","57,535"
Garfield,"25,156","26,534","27,185","28,554","30,368","27,044","30,435","34,959","34,792","36,608","33,398","38,507","38,485","38,343","41,173","40,350","39,603","40,567","45,811","49,407","45,672","43,915","44,608","45,187","44,446","44,684","46,616","46,358","51,119"
Grant,"22,372","24,216","25,463","26,996","29,172","29,978","30,384","32,738","33,977","35,692","35,276","37,278","39,556","40,173","41,186","41,707","41,824","44,438","47,480","48,207","41,195","42,799","42,994","45,021","46,036","50,356","50,067","52,981","51,330"
Grays Harbor,"23,042","24,053","24,677","26,038","27,002","27,252","28,638","29,792","31,368","33,167","34,160","36,410","37,440","38,102","38,305","38,367","39,943","42,029","43,126","42,646","39,927","39,452","39,836","40,354","40,323","41,687","43,902","44,627","48,517"
Island,"29,161","30,642","32,030","33,139","34,594","35,975","37,178","39,716","41,901","44,824","45,513","42,237","44,310","45,441","46,176","48,399","49,104","51,572","56,509","54,886","55,016","53,754","54,206","55,091","52,014","57,919","59,961","61,691","65,671"
Jefferson,"25,197","27,294","28,465","29,171","29,885","30,606","31,058","32,530","34,282","36,404","37,869","33,565","35,299","35,723","36,136","38,014","39,746","43,099","44,511","45,995","45,225","43,814","44,348","46,651","46,957","50,161","52,887","54,864","54,786"
King,"36,179","38,633","39,831","41,647","42,234","43,810","45,397","46,726","48,271","51,266","53,157","53,937","55,220","56,098","56,952","61,565","61,225","63,745","65,489","67,027","65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142"
Kitsap,"32,043","36,145","37,380","38,404","39,391","40,407","40,630","41,740","44,098","45,667","46,840","48,387","50,751","52,051","52,192","53,227","57,034","51,610","53,680","55,417","56,863","54,804","55,400","57,155","60,200","59,605","65,156","66,569","69,495"
Kittitas,"20,489","21,773","22,793","23,828","25,126","26,061","27,089","28,626","29,775","31,495","32,546","34,206","36,203","36,174","36,265","36,640","37,854","40,278","41,240","43,582","41,629","41,321","41,601","43,098","46,690","47,519","46,904","49,275","52,429"
Klickitat,"23,012","24,590","24,542","25,518","27,209","28,739","29,745","32,935","33,543","34,249","34,267","33,588","34,590","36,105","37,226","38,842","38,066","38,519","41,061","41,403","41,105","42,782","43,104","44,825","46,733","48,086","49,543","51,314","51,979"
Lewis,"24,410","25,975","26,295","27,552","28,502","29,744","30,621","32,112","33,610","34,315","35,511","32,968","34,603","34,672","34,393","34,735","36,046","38,454","39,130","38,696","38,701","37,947","38,325","41,208","39,609","42,406","47,143","47,893","47,398"
Lincoln,"24,617","26,616","26,591","28,192","29,777","28,941","31,844","35,152","35,838","36,106","35,255","37,188","39,419","39,574","40,885","40,891","39,999","41,756","45,047","44,798","44,126","43,632","43,936","45,690","46,956","48,976","49,276","51,019","55,234"
Mason,"26,304","27,834","28,585","29,785","30,776","31,553","32,792","34,748","36,524","38,531","39,586","42,907","44,724","45,596","45,710","46,436","47,713","50,878","46,893","48,655","47,898","47,273","47,724","48,804","47,142","52,598","53,633","55,824","54,364"
Okanogan,"20,303","20,580","22,203","23,697","25,074","25,999","25,495","27,576","28,047","29,598","29,726","28,659","30,137","31,451","32,725","34,497","34,659","36,798","35,712","36,681","35,227","34,915","35,161","35,848","36,292","35,146","41,426","41,028","40,912"
Pacific,"20,029","20,977","21,596","22,449","23,372","24,299","25,748","27,425","28,974","30,422","31,209","33,263","35,123","34,898","34,458","35,339","36,420","38,767","38,251","37,368","37,898","36,914","37,420","38,018","35,934","40,449","40,677","42,118","44,250"
Pend Oreille,"20,808","22,660","23,214","24,690","26,103","27,123","28,328","29,785","31,223","31,684","31,677","33,513","34,855","34,208","35,054","35,143","35,343","36,737","37,268","37,680","37,467","37,005","37,234","37,755","42,043","39,886","41,111","42,391","49,720"
Pierce,"30,412","33,380","33,976","35,417","36,210","37,105","38,222","39,878","42,596","44,333","45,204","42,555","44,965","45,581","47,084","49,151","50,678","55,506","56,426","57,674","56,555","55,531","56,114","57,162","57,238","59,998","59,566","61,042","65,246"
San Juan,"31,278","32,388","33,298","34,893","36,059","38,412","37,596","39,037","41,134","43,253","43,491","44,568","45,369","45,809","47,688","51,217","52,929","55,794","57,026","56,784","55,133","53,041","53,916","55,025","60,872","58,782","59,260","61,391","61,185"
Skagit,"28,389","30,181","30,979","31,970","32,843","34,089","35,278","36,888","38,449","40,582","42,381","42,972","45,287","45,747","46,747","48,229","49,196","52,104","53,874","54,803","55,572","54,426","55,085","56,443","56,058","54,852","56,322","55,524","58,990"
Skamania,"28,778","31,368","31,000","31,833","32,283","33,401","33,364","36,619","37,409","38,194","39,317","40,389","41,395","41,123","41,984","43,048","46,392","49,448","52,478","53,983","52,241","50,862","51,223","52,401","51,716","51,429","53,196","52,700","54,729"
Snohomish,"36,847","38,820","39,868","41,670","42,418","43,741","44,994","47,416","50,680","52,342","53,060","50,870","52,935","53,174","54,563","56,736","58,353","60,975","63,682","64,289","63,297","62,034","62,687","64,033","64,391","68,637","75,292","77,985","80,579"
Spokane,"25,769","27,337","28,355","29,570","30,482","31,631","32,256","33,517","34,920","36,389","37,308","39,401","40,525","40,872","42,533","44,836","44,538","45,753","47,848","48,876","46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809"
Stevens,"24,440","25,609","26,482","27,519","28,818","29,854","29,783","30,759","32,435","33,851","34,673","33,370","35,256","35,074","35,824","36,591","37,712","39,641","41,484","42,573","41,619","40,008","40,282","41,643","45,528","45,683","42,417","44,467","53,245"
Thurston,"30,976","33,139","34,851","36,676","37,766","38,939","39,971","41,497","43,748","45,843","46,975","48,457","50,885","51,111","51,243","52,043","54,914","57,985","60,576","63,009","60,978","60,038","60,621","62,009","63,408","65,288","61,676","63,286","66,725"
Wahkiakum,"26,969","28,590","28,459","29,655","31,076","31,298","32,688","34,014","36,566","38,626","39,444","40,628","42,972","42,491","44,243","43,526","44,188","46,485","47,888","47,008","44,867","44,492","45,083","45,624","43,140","47,174","49,898","50,872","54,667"
Walla Walla,"24,414","25,808","26,242","27,647","28,902","30,152","31,014","32,957","34,094","35,688","35,900","34,533","36,943","36,443","37,184","37,885","38,523","40,600","43,995","44,940","44,267","44,117","44,606","46,147","47,238","50,835","49,619","52,094","55,709"
Whatcom,"28,367","31,097","31,953","32,599","32,958","34,031","34,893","36,492","37,553","39,188","40,005","37,044","39,301","39,568","40,486","41,151","43,372","46,879","49,778","50,443","49,761","49,294","49,775","51,268","50,879","53,481","54,522","55,710","57,291"
Whitman,"21,674","22,949","23,735","24,389","25,162","25,134","26,270","27,838","28,697","29,174","28,584","24,596","24,841","24,805","25,869","26,752","26,788","28,303","31,302","32,604","32,037","31,062","31,396","32,570","43,091","42,218","43,379","49,946","48,665"
Yakima,"23,612","25,484","25,866","27,085","28,079","29,164","29,717","31,442","32,946","34,649","34,828","34,630","36,037","36,141","38,095","39,394","37,968","37,576","41,224","43,692","39,836","40,802","41,164","42,162","40,696","43,050","46,422","46,957","48,300"